Company,Geography, Excel ID 
"Jiangxi Construction Engineering Group Co., Ltd.",APAC,IQ116394549
Pierer Industrie AG,EMEA,IQ99131290
YTO International Express and Supply Chain Technology Limited,APAC,IQ265980407
Anhui Conch Cement Company Limited,APAC,IQ5536230
China Shanshui Cement Group Limited,APAC,IQ46001484
Zhongtian Financial Group Company Limited,APAC,IQ9768775
"Kunming Communications Investment Co., Ltd.",APAC,IQ129703547
"Changzhou Hi-tech Group Co.,Ltd",APAC,IQ47165310
"DS Networks Co., Ltd.",APAC,IQ112566013
"Nanyang Caihe Investment Co.,Ltd.",APAC,IQ636661206
KISCO Holdings Corp.,APAC,IQ2482178
"Kunming Yunnei Power Co.,Ltd.",APAC,IQ5722315
ShenZhen Properties & Resources Development (Group) Ltd.,APAC,IQ8292633
Yang Ming Marine Transport Corporation,APAC,IQ881349
"Hyundai Samho Heavy Industries Co.,Ltd.",APAC,IQ32392298
"Chengdu Xingcheng Investment Group Co.,Ltd",APAC,IQ228151886
"DIMA Holdings Co.,Ltd",APAC,IQ12733350
Chengdu industry investment co.ltd,APAC,IQ47203868
"Xining Special Steel.Co.,Ltd",APAC,IQ5579529
Chongqing Shuangqiao Economic and Technological Development Zone Development Investment Group Co.Ltd,APAC,IQ240981817
"Chongqing Southern New Town Industrial Investment Group Co.,Ltd.",APAC,IQ648347803
"Nantong Coastal Development Group Co., Ltd.",APAC,IQ642093688
"Shanghai Baolong Industry Development Co.,Ltd",APAC,IQ322322655
"Changde Economic Construction Investment Group Co., Ltd.",APAC,IQ99609969
Alok Industries Limited,APAC,IQ2584385
KISCO Corp.,APAC,IQ47772860
PT Krakatau Steel (Persero) Tbk,APAC,IQ9273440
"Shenzhen Jinjia Group Co.,Ltd.",APAC,IQ26689228
"China Vanke Co., Ltd.",APAC,IQ5493345
Nam Kim Steel Joint Stock Company,APAC,IQ47943853
"S&I Engineering & Construction Co., Ltd.",APAC,IQ1758812173
Beijing Capital Land Ltd.,APAC,IQ6658225
Longyan Water Development Group Limited,APAC,IQ683339274
China Tianrui Group Cement Company Limited,APAC,IQ33278349
"Beijing Capital Development Co., Ltd.",APAC,IQ11367534
PT Lippo Karawaci Tbk,APAC,IQ20356317
"Hongrun Construction Group Co., Ltd.",APAC,IQ28371007
Zensun Enterprises Limited,APAC,IQ1789880
Korea Land & Housing Corporation,APAC,IQ10244719
Aerosun Corporation,APAC,IQ13227396
"Chengdu Construction Engineering Co.,Ltd",APAC,IQ146097743
